bloque,modelo,FPC1,FPC2,FPC3
test,FAR1,0.8173706060597322,1.0135996003766947,1.022951754969169
test,GBT,0.9567122205447046,1.219426331872799,1.0552033850640063
test,RF,0.8992900638269767,1.0313070417421284,0.9860129678180977
test,VAR,0.8173632837995786,1.0136186018511397,1.0230453609371883
test,media,1.1393061381425946,1.0389149731150584,0.9905820278891768
test,persistencia,0.8787737005409316,1.2603411222643286,1.3467604866677876
train,FAR1,0.8328985266553955,0.9450042367243509,0.9571654513266918
train,GBT,0.2625745778929455,0.2987027519803612,0.2749615230096196
train,RF,0.7229846374026292,0.8270294102044978,0.8304310728529094
train,VAR,0.832898504880456,0.9449997993776704,0.9571555905982115
train,media,0.999317741550736,1.0009023697053767,1.000901666780087
train,persistencia,0.9462693999269985,1.1806195417887404,1.3301147697793396
