bloque,train,train,train,test,test,test
,Error_maximo,MAE,RMSE,Error_maximo,MAE,RMSE
modelo,,,,,,
(truncamiento FPCA),0.18842851381798773,0.05691602838060545,0.07365602449069279,0.20404762985712616,0.05859845664282495,0.07569512143327708
FAR,1.3193836570308919,0.7864667704662389,0.9758511017534378,1.282166513730856,0.7704705798649146,0.9610778646174863
GBT,0.6827094978491359,0.3924015322414241,0.4904514929843065,1.447882270439728,0.883321628745102,1.099073095024286
PSBPM-FD,1.3071582414617926,0.7775241875322623,0.9657962163091367,1.2721060777670248,0.7661389290693965,0.955566861025759
RF,1.124309398298391,0.6734290366118512,0.833570264385221,1.3189778470255868,0.8045488564946633,0.9942671004653024
media,1.5162975691736997,0.987406593618207,1.1944746752585995,1.4644749524256897,0.9463394834387435,1.1404619376156027
persistencia,1.5972113301483177,0.874323065530481,1.1007712139607435,1.5025379321521037,0.8894493720853609,1.1026735598283826
