variable,FPC 1,FPC 1_sd,FPC 2,FPC 2_sd,FPC 3,FPC 3_sd
fpc_1_lag1,1.0,0.0,0.014249999999999985,0.008838834764831813,0.09249999999999997,0.05374011537017758
fpc_2_lag1,0.012749999999999984,0.0038890872965259755,1.0,0.0,0.03025,0.0010606601717798615
fpc_3_lag1,0.05299999999999999,0.03323401871576776,0.021499999999999964,0.0,0.42775,0.6049298513050914
