M,metrica,columna,banda,bloque,minimo,maximo,promedio
2,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.346,0.9173333333333333,0.6938813760379597
2,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.834,1.0,0.9553245098039216
2,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),test,0.5633333333333334,0.918,0.7763843416370106
2,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),train,0.8146666666666667,1.0,0.944728431372549
2,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),test,0.25,0.75,0.5322064056939502
2,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),train,0.65,1.0,0.8676470588235294
2,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.2,0.75,0.48718861209964415
2,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.65,1.0,0.8713235294117647
2,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),test,0.3,0.85,0.5446619217081851
2,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),train,0.55,1.0,0.8334558823529412
2,8. Winkler,winkler,FAR (IC del modelo AR),test,6.465004232709049,31.84490062132927,13.891186727497631
2,8. Winkler,winkler,FAR (IC del modelo AR),train,5.250296756901449,8.858811604509441,6.019747019127447
2,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,7.006456368581659,37.936709938444906,16.901839709288687
2,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,5.430141834816903,10.143587161337557,6.290461402102926
2,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),test,8.23960490147384,29.01900503239302,14.845502414686017
2,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),train,4.898334305451529,10.463139931981258,6.20518044585578
2,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),test,9.863412363421435,52.15642795237174,24.489749815807325
2,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),train,5.487997383902713,15.270728772715653,7.979064730738367
2,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,13.134053131808523,61.98442840306476,30.566392218191
2,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,5.604912991210564,17.689498587106037,8.216507859504453
2,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),test,14.352281828456489,47.2632473928953,27.314085410542937
2,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),train,5.135975700616837,19.348000708080633,8.936164955568131
2,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),test,34.11062272124456,139.07864025136004,94.16593606155465
2,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),train,5.487997383902714,97.9239292208958,33.44846115268042
2,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,55.559304827857495,160.6161402426068,107.22889285917186
