variable,FPC 1,FPC 1_sd,FPC 2,FPC 2_sd,FPC 3,FPC 3_sd,FPC 4,FPC 4_sd,FPC 5,FPC 5_sd
fpc_1_lag1,1.0,0.0,1.0,0.0,1.0,0.0,0.99775,0.0010606601717798615,0.031000000000000028,0.02262741699796954
fpc_2_lag1,0.9595,0.019798989873223347,1.0,0.0,1.0,0.0,0.9962500000000001,0.005303300858899072,0.252,0.08273149339882606
fpc_3_lag1,0.012749999999999984,0.00035355339059331333,0.022749999999999992,0.007424621202458795,0.853,0.0007071067811865482,0.9935,0.007071067811865481,0.062,0.025455844122715655
fpc_4_lag1,0.01699999999999996,0.012020815280171319,0.017500000000000016,0.006363961030678933,0.027249999999999996,0.020152543263816585,0.8340000000000001,0.02262741699796946,0.03025,0.0010606601717798615
fpc_5_lag1,0.00599999999999995,0.0007071067811865482,0.024249999999999994,0.008838834764831813,0.015749999999999986,0.007424621202458795,0.015749999999999986,0.012374368670764553,0.8385,0.019091883092036802
