componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,5,2,0,3,0,0.4,0.0,0.4,,0.39905,
FPC 2,5,2,0,3,0,0.4,0.0,0.4,,0.41289999999999993,
FPC 3,5,3,0,2,0,0.6,0.0,0.6,,0.5791999999999999,
FPC 4,5,4,0,1,0,0.8,0.0,0.8,,0.7674500000000001,
FPC 5,5,1,0,4,0,0.2,0.0,0.2,,0.24275000000000002,
