bloque,modelo,RMSE_scores,R2_scores,MISE,RMSE_func,MISE_rel_PSBP
train,PSBPM-FD,0.669980153274094,0.4072536907260255,0.0004608340263712,0.0214670451243581,1.0
train,VAR,0.6442553643631405,0.4513528142449316,0.0004339200971030088,0.020830748836827947,0.9415973480080828
train,FAR1,0.6442601765748007,0.45134523731116444,0.0004339261159298396,0.020830893306093227,0.9416104087338243
train,RF,0.5873377327562362,0.5816198416079709,0.000683452717752202,0.026142928637629757,1.4830778081514397
train,GBT,0.30863247267574545,0.8733737882253129,0.0001857597700630002,0.013629371594574719,0.40309473570289583
train,media,0.9999945934436085,-2.8535482836655746e-06,0.011045676374495784,0.1050984128067393,23.968881945359076
train,persistencia,0.8415484180937,0.01823824451403973,0.0005877018604274469,0.02424256299213115,1.2753004917090374
train,(truncamiento FPCA),,,0.00011125375433585704,,0.24141827202282712
test,PSBPM-FD,0.4297688748749519,0.5140205592344244,0.0002320408799731,0.0152328881034813,1.0
test,VAR,0.47479506210091643,0.4087109020499268,0.00024616830202791386,0.015689751496690885,1.0608833325250775
test,FAR1,0.47468413127875,0.40893618821428906,0.00024587896378581384,0.01568052817304997,1.059636404646966
test,RF,0.4470842873048008,0.4831720021058354,0.0003559178355628317,0.018865784785235724,1.533858325326522
test,GBT,0.48222953164797294,0.39210628458413765,0.0002754975489718899,0.016598118838347012,1.1872802283969432
test,media,0.6401889686560426,-0.23968353615113677,0.002243896411742939,0.0473697837417793,9.67026332602716
test,persistencia,0.5073882213343944,0.31974867041642674,0.0002952557072792905,0.017183006351604788,1.2724296999456253
test,(truncamiento FPCA),,,8.412493030748617e-05,,0.3625435755856407
