bloque,modelo,RMSE_scores,R2_scores,sd_ratio,MISE,RMSE_func,n
test,(truncamiento FPCA),,,,8.412493030748617e-05,0.009171964364708695,255
test,FAR1,0.47468413127875,0.40893618821428906,0.625300230332983,0.00024587896378581384,0.01568052817304997,255
test,GBT,0.48222953164797294,0.39210628458413765,0.8218123476479926,0.0002754975489718899,0.016598118838347012,255
test,RF,0.4470842873048008,0.4831720021058354,0.6922645932372334,0.0003559178355628317,0.018865784785235724,255
test,VAR,0.47479506210091643,0.4087109020499268,0.6253103195870434,0.00024616830202791386,0.015689751496690885,255
test,media,0.6401889686560426,-0.23968353615113677,0.0,0.002243896411742939,0.0473697837417793,255
test,persistencia,0.5073882213343944,0.31974867041642674,1.0114738476654597,0.0002952557072792905,0.017183006351604788,255
train,(truncamiento FPCA),,,,0.00011125375433585704,0.010547689525951028,594
train,FAR1,0.6442601765748007,0.45134523731116444,0.5967352229802682,0.0004339261159298396,0.020830893306093227,594
train,GBT,0.30863247267574545,0.8733737882253129,0.8170461095083542,0.0001857597700630002,0.013629371594574719,594
train,RF,0.5873377327562362,0.5816198416079709,0.5836480134128962,0.000683452717752202,0.026142928637629757,594
train,VAR,0.6442553643631405,0.4513528142449316,0.5967449088457909,0.0004339200971030088,0.020830748836827947,594
train,media,0.9999945934436085,-2.8535482836655746e-06,0.0,0.011045676374495784,0.1050984128067393,594
train,persistencia,0.8415484180937,0.01823824451403973,0.9984527335942195,0.0005877018604274469,0.02424256299213115,594
