bloque,modelo,FPC1,FPC2,FPC3
test,FAR1,0.08926020679471285,0.689859389207872,0.644932797833665
test,GBT,0.10140727043683324,0.7426054201461503,0.6026759043609352
test,RF,0.13868067966516773,0.6655081602814122,0.5370640219678224
test,VAR,0.08938042157802027,0.6904899106521406,0.6445148540725885
test,media,0.43773655049964116,0.7726270040458616,0.710203351422625
test,persistencia,0.10447157112329139,0.8263976109485635,0.5912954819313283
train,FAR1,0.13344708931595708,0.8274442315328894,0.9718892088755557
train,GBT,0.06454092230490839,0.38065203303018363,0.4807044626921444
train,RF,0.2098762628544633,0.715705520664246,0.8364314147499995
train,VAR,0.13344574239585985,0.8274336238121262,0.9718867268814355
train,media,0.99937602040854,1.0000881899035512,1.0005195700187344
train,persistencia,0.15414259814702788,0.9463858406597526,1.4241168154743191
