M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
1,1,1,10.564,27,19.0,30,False
1,1,2,11.4025,28,20.0,30,False
2,1,1,10.564,27,19.0,30,False
2,1,2,11.4025,28,20.0,30,False
2,2,1,11.953,27,21.0,30,False
2,2,2,11.277,30,20.0,30,True
3,1,1,10.564,27,19.0,30,False
3,1,2,11.4025,28,20.0,30,False
3,2,1,11.953,27,21.0,30,False
3,2,2,11.277,30,20.0,30,True
3,3,1,7.3875,22,14.0,30,False
3,3,2,11.107,23,20.0,30,False
4,1,1,10.564,27,19.0,30,False
4,1,2,11.4025,28,20.0,30,False
4,2,1,11.953,27,21.0,30,False
4,2,2,11.277,30,20.0,30,True
4,3,1,7.3875,22,14.0,30,False
4,3,2,11.107,23,20.0,30,False
4,4,1,10.8865,28,18.0,30,False
4,4,2,10.585,24,18.0,30,False
