w,metrica,columna,criterio,bloque,M,n_ventanas,pct_ventanas_ganadas
20,1. MAE  (L^1),mae_f,menor es mejor,train,1,677,0.18168389955686853
20,1. MAE  (L^1),mae_f,menor es mejor,train,2,677,0.18906942392909898
20,1. MAE  (L^1),mae_f,menor es mejor,train,3,677,0.29542097488921715
20,1. MAE  (L^1),mae_f,menor es mejor,train,4,677,0.33382570162481534
20,1. MAE  (L^1),mae_f,menor es mejor,test,1,281,0.1708185053380783
20,1. MAE  (L^1),mae_f,menor es mejor,test,2,281,0.13523131672597866
20,1. MAE  (L^1),mae_f,menor es mejor,test,3,281,0.34519572953736655
20,1. MAE  (L^1),mae_f,menor es mejor,test,4,281,0.3487544483985765
20,2. RMSE (L^2),rmse_f,menor es mejor,train,1,677,0.18168389955686853
20,2. RMSE (L^2),rmse_f,menor es mejor,train,2,677,0.1536189069423929
20,2. RMSE (L^2),rmse_f,menor es mejor,train,3,677,0.3722304283604136
20,2. RMSE (L^2),rmse_f,menor es mejor,train,4,677,0.29246676514032494
20,2. RMSE (L^2),rmse_f,menor es mejor,test,1,281,0.2313167259786477
20,2. RMSE (L^2),rmse_f,menor es mejor,test,2,281,0.099644128113879
20,2. RMSE (L^2),rmse_f,menor es mejor,test,3,281,0.28825622775800713
20,2. RMSE (L^2),rmse_f,menor es mejor,test,4,281,0.3807829181494662
20,3. E_max promedio por curva,linf_medio,menor es mejor,train,1,677,0.2274741506646972
20,3. E_max promedio por curva,linf_medio,menor es mejor,train,2,677,0.07680945347119646
20,3. E_max promedio por curva,linf_medio,menor es mejor,train,3,677,0.40620384047267355
20,3. E_max promedio por curva,linf_medio,menor es mejor,train,4,677,0.2895125553914328
20,3. E_max promedio por curva,linf_medio,menor es mejor,test,1,281,0.13523131672597866
20,3. E_max promedio por curva,linf_medio,menor es mejor,test,2,281,0.06761565836298933
20,3. E_max promedio por curva,linf_medio,menor es mejor,test,3,281,0.38434163701067614
20,3. E_max promedio por curva,linf_medio,menor es mejor,test,4,281,0.4128113879003559
20,4. E_max peor de la ventana,linf_max,menor es mejor,train,1,677,0.27326440177252587
20,4. E_max peor de la ventana,linf_max,menor es mejor,train,2,677,0.22008862629246675
20,4. E_max peor de la ventana,linf_max,menor es mejor,train,3,677,0.2865583456425406
20,4. E_max peor de la ventana,linf_max,menor es mejor,train,4,677,0.22008862629246675
20,4. E_max peor de la ventana,linf_max,menor es mejor,test,1,281,0.3309608540925267
20,4. E_max peor de la ventana,linf_max,menor es mejor,test,2,281,0.17793594306049823
20,4. E_max peor de la ventana,linf_max,menor es mejor,test,3,281,0.21352313167259787
20,4. E_max peor de la ventana,linf_max,menor es mejor,test,4,281,0.2775800711743772
30,1. MAE  (L^1),mae_f,menor es mejor,train,1,667,0.12443778110944528
30,1. MAE  (L^1),mae_f,menor es mejor,train,2,667,0.1634182908545727
30,1. MAE  (L^1),mae_f,menor es mejor,train,3,667,0.32533733133433285
30,1. MAE  (L^1),mae_f,menor es mejor,train,4,667,0.3868065967016492
30,1. MAE  (L^1),mae_f,menor es mejor,test,1,271,0.0959409594095941
